frame,circular_count,fixed_count,dead_count,fragment_count,avg_brightness,avg_circular_area,avg_fixed_area,avg_dead_area,avg_fragment_area
93,0,251,0,5,127.39521891276041,0.0,277.8247011952191,0.0,40.8
94,0,262,0,1,127.40907633463542,0.0,285.7442748091603,0.0,48.0
95,0,257,0,3,127.422880859375,0.0,273.2023346303502,0.0,42.0
96,0,260,0,1,127.416201171875,0.0,289.12692307692305,0.0,19.0
97,0,273,0,2,127.4040087890625,0.0,284.65201465201466,0.0,23.5
98,0,259,0,3,127.43444905598959,0.0,278.18918918918916,0.0,37.0
99,0,253,0,2,127.43793294270833,0.0,281.59683794466406,0.0,38.0
100,0,243,0,2,127.42615397135417,0.0,284.9917695473251,0.0,47.0
101,0,229,0,4,127.42777669270833,0.0,278.4192139737991,0.0,39.25
102,0,244,0,4,127.43135660807292,0.0,281.8975409836066,0.0,40.0
103,0,238,0,1,127.43283040364584,0.0,275.8487394957983,0.0,45.0
104,0,244,0,3,127.46424479166667,0.0,275.85655737704917,0.0,33.666666666666664
105,0,256,0,2,127.441416015625,0.0,282.89453125,0.0,38.0
106,0,230,0,4,127.45045735677083,0.0,285.82173913043476,0.0,29.75
107,0,233,0,3,127.44542643229167,0.0,283.7038626609442,0.0,43.666666666666664
108,0,232,0,2,127.47042236328124,0.0,274.9094827586207,0.0,44.0
109,0,227,0,0,127.48277669270833,0.0,296.24229074889865,0.0,0.0
110,0,230,0,3,127.47629964192708,0.0,282.9478260869565,0.0,38.666666666666664
111,0,232,0,6,127.48121500651041,0.0,280.3836206896552,0.0,37.333333333333336
112,0,221,0,5,127.47824951171874,0.0,273.8914027149321,0.0,39.4
113,0,230,0,2,127.48272623697916,0.0,279.2739130434783,0.0,40.5
114,0,217,0,3,127.520263671875,0.0,278.1336405529954,0.0,41.666666666666664
115,0,217,0,2,127.50230143229167,0.0,289.2442396313364,0.0,44.0
116,0,219,0,1,127.49765218098959,0.0,269.45205479452056,0.0,44.0
117,0,229,0,3,127.51561767578124,0.0,272.3362445414847,0.0,37.666666666666664
118,0,227,0,2,127.54035074869792,0.0,279.54185022026434,0.0,45.5
119,0,226,0,3,127.545537109375,0.0,271.5221238938053,0.0,43.333333333333336
120,0,224,0,2,127.53677978515626,0.0,276.4419642857143,0.0,45.5
121,0,211,0,2,127.52751383463541,0.0,285.50236966824644,0.0,35.0
122,0,196,0,4,127.55296793619792,0.0,276.44897959183675,0.0,47.25
123,0,197,0,2,127.54024332682292,0.0,288.1319796954315,0.0,43.0
124,0,210,0,3,127.55392496744791,0.0,286.0904761904762,0.0,40.333333333333336
125,0,189,0,2,127.54073649088542,0.0,275.4973544973545,0.0,45.0
126,0,197,0,2,127.54794840494792,0.0,277.1218274111675,0.0,47.0
127,0,184,0,2,127.54429443359375,0.0,278.375,0.0,46.5
128,0,188,0,1,127.56317138671875,0.0,282.6968085106383,0.0,45.0
129,0,189,0,3,127.55986572265626,0.0,281.4232804232804,0.0,46.0
130,0,194,0,1,127.57307861328125,0.0,282.840206185567,0.0,48.0
131,0,185,0,3,127.56098388671874,0.0,279.6972972972973,0.0,44.666666666666664
132,0,203,0,2,127.5623388671875,0.0,288.6650246305419,0.0,43.5
133,0,200,0,1,127.57383870442709,0.0,281.055,0.0,32.0
134,0,211,0,2,127.5774560546875,0.0,282.06635071090045,0.0,38.5
135,0,201,0,0,127.56224365234375,0.0,266.6517412935323,0.0,0.0
136,0,187,0,1,127.56213704427083,0.0,278.42245989304814,0.0,32.0
137,0,185,0,4,127.57237386067709,0.0,270.6054054054054,0.0,41.75
138,0,185,0,1,127.57587158203125,0.0,278.3945945945946,0.0,38.0
139,0,188,0,3,127.58242838541666,0.0,275.4255319148936,0.0,46.333333333333336
140,0,178,0,3,127.58283365885417,0.0,278.7977528089888,0.0,37.666666666666664
141,0,190,0,2,127.58488688151041,0.0,281.3263157894737,0.0,35.5
142,0,193,0,3,127.5816015625,0.0,279.72020725388603,0.0,44.666666666666664
143,0,190,0,4,127.57524983723958,0.0,276.7894736842105,0.0,34.75
144,0,172,0,1,127.57273111979167,0.0,280.08720930232556,0.0,33.0
145,0,187,0,1,127.58052897135417,0.0,275.32620320855614,0.0,29.0
146,0,180,0,1,127.58381510416666,0.0,272.7944444444444,0.0,30.0
147,0,183,0,0,127.58515380859374,0.0,279.8251366120219,0.0,0.0
148,0,174,0,1,127.59134847005208,0.0,271.01149425287355,0.0,28.0
149,0,195,0,2,127.56283284505209,0.0,272.425641025641,0.0,46.0
150,0,192,0,1,127.5601904296875,0.0,273.6197916666667,0.0,45.0
151,0,0,197,3,127.57365885416667,0.0,0.0,272.8680203045685,47.333333333333336
152,0,0,190,2,127.5621044921875,0.0,0.0,281.94736842105266,47.0
153,0,0,190,0,127.56286783854166,0.0,0.0,281.09473684210525,0.0
154,0,0,183,2,127.56620686848959,0.0,0.0,278.9890710382514,48.5
155,0,0,179,1,127.56668701171876,0.0,0.0,284.463687150838,46.0
156,0,0,181,4,127.57459798177084,0.0,0.0,287.1325966850829,40.5
157,0,0,188,3,127.57725748697916,0.0,0.0,275.6808510638298,41.333333333333336
158,0,0,192,0,127.57691243489583,0.0,0.0,278.953125,0.0
159,0,0,192,1,127.57772705078125,0.0,0.0,281.7708333333333,34.0
160,0,0,197,3,127.57848470052083,0.0,0.0,273.48730964467006,38.333333333333336
